feature,importance,rank
activity_transitions_per_hour,0.6729691876750693,1
circadian_rhythm_strength,0.2976190476190476,2
circadian_acrophase,0.029411764705882724,3
activity_hour_07,3.3550695799111853e-16,4
activity_transitions,0.0,5
moving_avg_1h_std,0.0,6
activity_change_std,0.0,7
avg_wake_time_hour,0.0,8
avg_sleep_onset_hour,0.0,9
total_sleep_time,0.0,10
avg_sleep_duration,0.0,11
intradaily_variability,0.0,12
weekend_activity_mean,0.0,13
autocorr_lag24,0.0,14
peak_activity_hour,0.0,15
activity_hour_06,0.0,16
activity_hour_23,0.0,17
activity_hour_22,0.0,18
activity_hour_21,0.0,19
activity_hour_19,0.0,20
activity_hour_18,0.0,21
activity_hour_17,0.0,22
activity_hour_16,0.0,23
activity_hour_15,0.0,24
activity_hour_14,0.0,25
activity_hour_13,0.0,26
activity_hour_11,0.0,27
activity_hour_09,0.0,28
activity_hour_08,0.0,29
day_night_ratio,0.0,30
